fold,window_size_frames,subset,num_windows,train_majority_class,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes
1,30,validation,1194,alert,0.8559463986599665,0.3333333333333333,0.3074608904933815,0.3074608904933815,"[""alert"", ""fatigue"", ""distraction""]",[]
1,30,test,1535,alert,0.7087947882736156,0.3333333333333333,0.27652814843055024,0.27652814843055024,"[""alert"", ""fatigue"", ""distraction""]",[]
2,30,validation,1185,alert,0.9164556962025316,0.3333333333333333,0.3188022897402026,0.3188022897402026,"[""alert"", ""fatigue"", ""distraction""]",[]
2,30,test,1875,alert,0.8426666666666667,0.5,0.4573082489146165,0.3048721659430777,"[""alert"", ""distraction""]","[""fatigue""]"
3,30,validation,1158,alert,0.8575129533678757,0.3333333333333333,0.3077638307763831,0.3077638307763831,"[""alert"", ""fatigue"", ""distraction""]",[]
3,30,test,1513,alert,0.906146728354263,0.3333333333333333,0.3169209431345354,0.3169209431345354,"[""alert"", ""fatigue"", ""distraction""]",[]
4,30,validation,1137,alert,0.8953386103781882,0.3333333333333333,0.3149265274555298,0.3149265274555298,"[""alert"", ""fatigue"", ""distraction""]",[]
4,30,test,1105,alert,0.8687782805429864,0.3333333333333333,0.3099273607748184,0.3099273607748184,"[""alert"", ""fatigue"", ""distraction""]",[]
1,60,validation,1180,alert,0.8593220338983051,0.3333333333333333,0.3081130355515041,0.3081130355515041,"[""alert"", ""fatigue"", ""distraction""]",[]
1,60,test,1534,alert,0.7092568448500652,0.3333333333333333,0.2766336130180524,0.2766336130180524,"[""alert"", ""fatigue"", ""distraction""]",[]
2,60,validation,1173,alert,0.9207161125319693,0.3333333333333333,0.3195739014647137,0.3195739014647137,"[""alert"", ""fatigue"", ""distraction""]",[]
2,60,test,1864,alert,0.8428111587982833,0.5,0.45735080058224165,0.30490053372149445,"[""alert"", ""distraction""]","[""fatigue""]"
3,60,validation,1151,alert,0.8566463944396178,0.3333333333333333,0.30759631882701605,0.30759631882701605,"[""alert"", ""fatigue"", ""distraction""]",[]
3,60,test,1500,alert,0.9113333333333333,0.3333333333333333,0.31787001511452156,0.31787001511452156,"[""alert"", ""fatigue"", ""distraction""]",[]
4,60,validation,1125,alert,0.8995555555555556,0.3333333333333333,0.3157073779441585,0.3157073779441585,"[""alert"", ""fatigue"", ""distraction""]",[]
4,60,test,1095,alert,0.873972602739726,0.5,0.46637426900584794,0.310916179337232,"[""alert"", ""distraction""]","[""fatigue""]"
1,150,validation,1155,alert,0.8649350649350649,0.3333333333333333,0.30919220055710306,0.30919220055710306,"[""alert"", ""fatigue"", ""distraction""]",[]
1,150,test,1528,alert,0.7133507853403142,0.3333333333333333,0.27756557168321877,0.27756557168321877,"[""alert"", ""fatigue"", ""distraction""]",[]
2,150,validation,1160,alert,0.9258620689655173,0.3333333333333333,0.3205013428827216,0.3205013428827216,"[""alert"", ""fatigue"", ""distraction""]",[]
2,150,test,1841,alert,0.8473655621944596,0.5,0.45868862099382535,0.3057924139958836,"[""alert"", ""distraction""]","[""fatigue""]"
3,150,validation,1125,alert,0.8613333333333333,0.3333333333333333,0.30850047755491883,0.30850047755491883,"[""alert"", ""fatigue"", ""distraction""]",[]
3,150,test,1493,alert,0.9142665773610181,0.3333333333333333,0.3184044786564031,0.3184044786564031,"[""alert"", ""fatigue"", ""distraction""]",[]
4,150,validation,1105,alert,0.9067873303167421,0.3333333333333333,0.3170384432842905,0.3170384432842905,"[""alert"", ""fatigue"", ""distraction""]",[]
4,150,test,1076,alert,0.879182156133829,0.5,0.4678536102868447,0.31190240685789644,"[""alert"", ""distraction""]","[""fatigue""]"
